Component,References,Value,Mfg Part Number,Package,Part Description,Voltage,Quantity Per PCB
1,C3-C4,0.1u,,1206,CAP CER 0.1UF 450V X7T 1206,450V,2
2,C6-C16,0.22u,,1206,CAP CER 0.22UF 100V X7R 1206,100V,11
3,C19-C20,1.8u,UUB2G1R8MNL1GS,,,400V,2
4,C17-C18,10u,,1206,CAP CER 10UF 25V X5R 1206,25V,2
5,C1,15pF,,1206,CAP CER 15PF 50V C0G/NP0 1206,50V,1
6,C2,1u,,1206,CAP CER 1UF 16V X7R 1206,16V,1
7,D1-D2 D5-D15,DSS120U,DSS120U,SOD-123F,SCHOTTKY 200V SOD-123FL,,13
8,D16,SMA6J5.0CA,SMA6J5.0CA,SMA,TVS DIODE 5VWM 9.2VC DO214AC TR,,1
9,D3-D4,SMAJ200A,SMAJ200A-TP,SMA,TVS DIODE 200V 324V DO214AC,,2
10,J2 J4,BNC,RF1-01K-D-00-50-BK-HDW,,BNC RA PCB 50 4GHZ ZINC BODY NI,,2
11,J3,Barrel_Jack_Switch,PJ-202AH,,CONN PWR JACK 2X5.5MM KINKED PIN,,1
12,J1,CTRL_TERM,31101104,,TERM BLK 4P SIDE ENT 5.08MM PCB,,1
13,J5,Screw_Terminal_01x02,31101102,,TERM BLK 2P SIDE ENT 5.08MM PCB,,1
14,JP1,100/200V SEL,,,,,1
15,L1,68uH,SPM6545VT-680M-D,,FIXED IND 68UH 1.7A 340 MOHM SMD,,1
16,R12-R16,10,,1206,RES 10 OHM 1% 1/4W 1206,,5
17,R1 R7,100,,1206,RES SMD 100 OHM 1% 1/4W 1206,,2
18,R8 R11,12.4k,,1206,RES 12.4K OHM 1% 1/4W 1206,,2
19,R6,150,,1206,RES 150 OHM 1% 1/2W 1206,,1
20,R2,16.9k,,1206,RES SMD 16.9K OHM 1% 1/4W 1206,,1
21,R3,1k,,1206,RES 1K OHM 1% 1/2W 1206,,1
22,R4-R5 R9-R10,499k,,1206,RES 499K OHM 1% 1/4W 1206,,4
23,RV1,50k,CT20EP503,,TRIMMER 50K OHM 0.5W PC PIN SIDE,,1
24,U2,LT117xHV,LT1171HVCQ,,IC REG MULTI CONFG ADJ 5DDPAK,,1
25,U1,PA88,,TO-3-8,,,1





Component Groups:,26
Component Count:,62
Fitted Components:,61
Number of PCBs:,1
Total components:,61
Schematic Version:,2
Schematic Date:,2022-05-06
PCB Variant:,[u'default']
BoM Date:,Fri 06 May 2022 05:38:52 PM PDT
Schematic Source:,HV_Amplifier.kicad_sch
KiCad Version:,Eeschema 6.0.4-6f826c9f35~116~ubuntu21.10.1
